Emp ID,First Name,Gender,E Mail,Date of Birth,Date of Joining,Experience in Months,Age in Years
677509,Lois,F,lois.walker@hotmail.com,3/29/1981,11/24/2003,,
940761,Brenda,F,brenda.robinson@gmail.com,7/31/1970,7/27/2008,,
428945,Joe,M,joe.robinson@gmail.com,6/16/1963,08-03-2016,,
408351,Diane,F,diane.evans@yahoo.com,12-04-1977,4/16/1999,,
193819,Benjamin,M,benjamin.russell@charter.net,4/17/1977,7/25/2013,,
499687,Patrick,M,patrick.bailey@aol.com,9/27/1982,7/22/2005,,
539712,Nancy,F,nancy.baker@bp.com,6/13/1995,9/14/2016,,
380086,Carol,F,carol.murphy@gmail.com,6/30/1958,1/28/1983,,
477616,Frances,F,frances.young@gmail.com,06-09-1959,4/27/1994,,
162402,Diana,F,diana.peterson@hotmail.co.uk,11/13/1987,2/17/2014,,
231469,Ralph,M,ralph.flores@yahoo.com,02-05-1975,4/14/2009,,
153989,Jack,M,jack.alexander@gmail.com,5/19/1995,01-05-2017,,
386158,Melissa,F,melissa.king@comcast.net,2/24/1972,11/24/2015,,
301576,Wayne,M,wayne.watson@gmail.com,6/26/1996,7/19/2017,,
441771,Cheryl,F,cheryl.scott@gmail.com,2/23/1958,11/26/1990,,
528509,Paula,F,paula.diaz@gmail.com,8/22/1966,8/22/1994,,
912990,Joshua,M,joshua.stewart@yahoo.ca,5/18/1970,09-02-2002,,
214352,Theresa,F,theresa.lee@gmail.com,12-05-1992,1/19/2015,,
890290,Julia,F,julia.scott@apple.com,7/15/1959,2/23/2005,,
622406,Thomas,M,thomas.lewis@gmail.com,10-04-1967,06-07-1998,,
979607,Carol,F,carol.edwards@msn.com,12/14/1994,4/25/2016,,
969580,Matthew,M,matthew.turner@gmail.com,10/26/1993,02-07-2016,,
426038,Joan,F,joan.stewart@yahoo.com,11/20/1972,12/30/2009,,
388642,Ruby,F,ruby.rogers@gmail.com,05-01-1980,8/30/2013,,
560455,Carolyn,F,carolyn.hayes@hotmail.co.uk,03-10-1958,07-03-2001,,
477253,Anne,F,anne.russell@ibm.com,7/29/1989,11/24/2013,,
263480,Daniel,M,daniel.cooper@yahoo.com,01-01-1990,03-06-2014,,
683826,Roger,M,roger.roberts@gmail.com,07-07-1969,1/29/2009,,
474599,Maria,F,maria.walker@microsoft.com,3/19/1975,10-01-1998,,
335732,Brenda,F,brenda.butler@gmail.com,12-06-1963,8/20/1987,,
329752,Lillian,F,lillian.brown@aol.com,05-12-1981,4/13/2015,,
893212,Amy,F,amy.howard@aol.com,6/16/1981,06-01-2003,,
621833,Gregory,M,gregory.edwards@outlook.com,8/31/1993,9/30/2015,,
456747,Roy,M,roy.griffin@yahoo.com,05-08-1991,8/23/2012,,
278556,Richard,M,richard.mitchell@verizon.net,7/28/1993,8/18/2016,,
333476,Mary,F,mary.wilson@sbcglobal.net,12-01-1967,12/22/1991,,
218791,Aaron,M,aaron.price@bp.com,02-10-1969,07-03-1997,,
134841,Donna,F,donna.brown@aol.com,9/14/1983,7/17/2013,,
726264,Carl,M,carl.collins@yahoo.com,12/22/1973,06-09-2007,,
766610,Joyce,F,joyce.jenkins@aol.com,8/22/1961,5/14/2010,,
923947,Mary,F,mary.bryant@verizon.net,6/21/1962,5/20/2004,,
227922,Amanda,F,amanda.hughes@rediffmail.com,7/29/1982,4/19/2007,,
265813,Jack,M,jack.campbell@gmail.com,01-04-1985,7/29/2007,,
247137,Alan,M,alan.rivera@apple.com,12-11-1978,06-07-2006,,
407061,Elizabeth,F,elizabeth.jackson@aol.com,8/15/1964,1/19/2005,,
226714,Nancy,F,nancy.davis@ibm.com,11/14/1983,8/25/2012,,
702813,Ernest,M,ernest.martinez@gmail.com,11-09-1989,1/24/2016,,
524896,Judy,F,judy.hernandez@gmail.com,3/25/1961,12/27/2011,,
363065,Nancy,F,nancy.jones@gmail.com,11-10-1993,10/16/2015,,
879753,Pamela,F,pamela.wright@aol.com,4/14/1996,06-09-2017,,
958326,Larry,M,larry.miller@shell.com,10/31/1988,2/22/2017,,
447813,Ann,F,ann.coleman@ibm.com,05-11-1989,11/19/2013,,
525955,Judy,F,judy.gonzales@gmail.com,6/17/1959,01-03-1992,,
818384,Peter,M,peter.washington@bp.com,11-06-1982,11/29/2009,,
971640,Clarence,M,clarence.ross@apple.com,12/13/1960,12/31/2008,,
253573,Sharon,F,sharon.lopez@gmail.com,05-04-1991,03-07-2014,,
904898,Ann,F,ann.cooper@exxonmobil.com,12/25/1992,2/15/2017,,
515103,Anne,F,anne.perez@sbcglobal.net,05-05-1958,7/28/2003,,
491943,Nancy,F,nancy.howard@gmail.com,05-05-1961,02-06-1999,,
750173,Antonio,M,antonio.roberts@hotmail.com,8/27/1995,05-01-2017,,
687017,Frances,F,frances.watson@outlook.com,1/30/1961,8/20/2010,,
241882,Debra,F,debra.wood@hotmail.com,10/30/1969,01-10-1991,,
758872,Henry,M,henry.jenkins@hotmail.com,11-06-1984,6/21/2017,,
940922,Melissa,F,melissa.butler@hotmail.com,11/14/1994,02-05-2017,,
917937,Todd,M,todd.hall@yahoo.com,8/31/1991,05-08-2016,,
917395,Christopher,M,christopher.nelson@aol.com,3/29/1960,11-08-1997,,
183071,Andrea,F,andrea.garcia@aol.com,07-06-1985,4/18/2010,,
316110,Jeremy,M,jeremy.sanchez@hotmail.com,02-05-1965,04-02-2006,,
293459,Steven,M,steven.phillips@hotmail.com,09-12-1986,3/27/2015,,
732017,Cynthia,F,cynthia.ramirez@btinternet.com,9/22/1982,2/18/2009,,
915638,Jason,M,jason.anderson@gmail.com,01-03-1974,9/21/1999,,
478003,Cynthia,F,cynthia.white@gmail.com,6/15/1963,03-04-2004,,
951225,Margaret,F,margaret.brooks@gmail.com,6/27/1992,8/26/2016,,
883936,Douglas,M,douglas.flores@gmail.com,4/21/1986,09-10-2009,,
528673,Paul,M,paul.watson@hotmail.com,03-09-1959,6/26/1995,,
765850,Linda,F,linda.moore@gmail.com,8/18/1991,5/15/2017,,
262382,Cheryl,F,cheryl.miller@ntlworld.com,4/20/1985,7/30/2007,,
870820,Martha,F,martha.washington@aol.com,3/28/1991,03-03-2017,,
806955,William,M,william.hernandez@rediffmail.com,7/22/1967,3/21/2000,,
325319,Carolyn,F,carolyn.price@yahoo.com,5/30/1976,11-05-2014,,
623253,Ruby,F,ruby.stewart@gmail.com,10/23/1968,07-02-2017,,
225925,Paul,M,paul.cooper@gmail.com,08-12-1991,09-08-2014,,
761821,Ernest,M,ernest.washington@msn.com,10/28/1984,1/31/2015,,
400173,Dorothy,F,dorothy.edwards@hotmail.co.uk,1/19/1984,12/31/2013,,
802554,Ryan,M,ryan.alexander@shell.com,08-01-1993,8/31/2014,,
476433,Lillian,F,lillian.mitchell@shaw.ca,10/23/1974,12-07-1999,,
533952,Kelly,F,kelly.adams@bp.com,5/23/1975,07-04-2013,,
623929,Jimmy,M,jimmy.howard@yahoo.com,11/27/1966,12-12-2007,,
844177,Margaret,F,margaret.allen@gmail.com,09-08-1981,5/17/2013,,
212893,Janet,F,janet.henderson@ntlworld.com,12/24/1979,12/18/2012,,
185032,Eugene,M,eugene.perez@exxonmobil.com,10-06-1979,12-08-2014,,
867084,Deborah,F,deborah.smith@yahoo.com,10/31/1977,03-04-2002,,
969964,Janice,F,janice.parker@yahoo.com,01-12-1980,8/23/2016,,
158666,Rebecca,F,rebecca.stewart@gmail.com,08-11-1961,04-10-1983,,
489424,Phillip,M,phillip.white@gmail.com,03-04-1978,01-05-2016,,
639892,Jose,M,jose.hill@hotmail.com,10-08-1994,07-09-2016,,
704709,Harold,M,harold.nelson@gmail.com,12/24/1984,8/23/2011,,
461593,Nicole,F,nicole.ward@yahoo.com,12-12-1964,1/23/1989,,
392491,Theresa,F,theresa.murphy@gmail.com,12/30/1987,08-03-2010,,
495141,Tammy,F,tammy.young@comcast.net,3/22/1979,4/25/2015,,
